,date,open,high,low,close,volume
10513,2015-01-02,12.5058,12.5905,12.0632,12.0914,683706
10514,2015-01-05,12.0538,12.1668,11.889,11.9502,621778
10515,2015-01-06,11.9502,11.9879,11.4699,11.5547,535916
10516,2015-01-07,11.6112,11.7336,11.5076,11.7242,490448
10517,2015-01-08,11.7995,12.0632,11.6959,11.9784,464719
10518,2015-01-09,11.9784,12.195,11.9596,12.0161,518075
10519,2015-01-12,11.9977,12.0449,11.8276,11.8748,370193
10520,2015-01-13,11.9788,12.3,11.8371,12.0449,512641
10521,2015-01-14,11.8843,11.8843,11.4308,11.6009,638083
10522,2015-01-15,11.6954,11.7539,11.3505,11.3553,581907
10523,2015-01-16,11.2891,11.6387,11.2891,11.5159,481213
10524,2015-01-20,11.497,11.5725,11.2797,11.3647,336494
10525,2015-01-21,11.3269,11.4875,11.2797,11.4214,398358
10526,2015-01-22,11.5348,12.3992,11.5159,12.2244,910292
10527,2015-01-23,12.2811,12.7581,12.196,12.385,1617229
10528,2015-01-26,12.3944,12.5361,12.1866,12.4606,811969
10529,2015-01-27,12.3094,12.4983,12.1772,12.4039,422800
10530,2015-01-28,12.4606,12.5361,12.1772,12.2055,777288
10531,2015-01-29,12.2055,12.3189,11.9032,12.3094,683477
10532,2015-01-30,12.2055,12.522,11.8937,11.8937,1184144
10533,2015-02-02,11.9032,12.0827,11.6859,12.0543,780370
10534,2015-02-03,12.2811,13.1691,12.2433,12.9707,1677370
10535,2015-02-04,13.0935,13.273,12.9518,13.1691,1060414
10536,2015-02-05,13.2447,13.4714,13.1785,13.273,822080
10537,2015-02-06,13.3108,13.5375,13.2636,13.4242,947611
10538,2015-02-09,13.3391,13.5659,13.2163,13.2352,797034
10539,2015-02-10,13.358,13.3864,13.1691,13.2919,571460
10540,2015-02-11,13.2352,13.4053,13.103,13.2258,530394
10541,2015-02-12,13.3202,13.443,13.2069,13.3864,867984
10542,2015-02-13,13.4053,13.7265,13.3108,13.6509,662911
10543,2015-02-17,13.6225,13.6791,13.4383,13.4714,440822
10544,2015-02-18,13.3864,13.5848,13.3391,13.358,527538
10545,2015-02-19,13.3013,13.4997,13.1974,13.3864,404551
10546,2015-02-20,13.3297,13.4147,13.1691,13.3675,542696
10547,2015-02-23,13.3013,13.4242,13.1596,13.3486,416661
10548,2015-02-24,13.3202,13.4903,13.2919,13.3202,263198
10549,2015-02-25,13.3391,13.4714,13.2494,13.3108,355706
10550,2015-02-26,13.2636,13.5281,13.2447,13.3958,492200
10551,2015-02-27,13.3486,13.3769,13.2163,13.2163,508067
10552,2015-03-02,13.2447,13.5186,13.2357,13.3769,576143
10553,2015-03-03,13.2919,13.3769,13.0604,13.103,531200
10554,2015-03-04,13.0274,13.1974,12.8668,12.8857,523000
10555,2015-03-05,12.9046,12.9707,12.6023,12.7818,726092
10556,2015-03-06,12.6589,12.829,12.5267,12.6589,705299
10557,2015-03-09,12.6967,12.7898,12.5645,12.6023,439410
10558,2015-03-10,12.47,12.47,12.2716,12.2811,487618
10559,2015-03-11,12.2811,12.744,12.2338,12.6589,980278
10560,2015-03-12,12.7723,13.0179,12.6967,12.8384,509207
10561,2015-03-13,12.8384,12.8762,12.6023,12.7534,362861
10562,2015-03-16,12.7912,12.999,12.7818,12.9707,347532
10563,2015-03-17,12.8951,12.9613,12.744,12.7723,429904
10564,2015-03-18,12.744,12.9707,12.7251,12.9046,439735
10565,2015-03-19,12.8762,13.0746,12.8007,12.9801,347120
10566,2015-03-20,13.0746,13.1407,12.8573,13.0179,1103435
10567,2015-03-23,13.0274,13.0652,12.8762,12.8762,260837
10568,2015-03-24,12.8479,12.9329,12.6401,12.7156,470874
10569,2015-03-25,12.7629,12.7723,12.47,12.4795,438691
10570,2015-03-26,12.47,12.7062,12.4228,12.5172,485707
10571,2015-03-27,12.5267,12.7156,12.5267,12.6684,277707
10572,2015-03-30,12.7534,12.8195,12.7062,12.7534,364850
10573,2015-03-31,12.7062,13.0274,12.6306,12.999,696262
10574,2015-04-01,12.9518,13.0368,12.7156,12.8479,708259
10575,2015-04-02,12.8857,13.1502,12.7912,12.8007,1026715
10576,2015-04-06,12.79,13.2069,12.7521,13.2069,1121296
10577,2015-04-07,13.1406,13.1785,12.7521,12.8374,683180
10578,2015-04-08,12.8753,12.9321,12.79,12.7995,397229
10579,2015-04-09,12.7995,12.9037,12.61,12.79,408784
10580,2015-04-10,12.8563,12.8942,12.61,12.6195,500948
10581,2015-04-13,12.5911,12.7332,12.5721,12.7332,285981
10582,2015-04-14,12.5247,12.6574,12.411,12.5911,539837
10583,2015-04-15,12.6668,12.6668,12.4679,12.5342,495293
10584,2015-04-16,12.4868,12.8184,12.4774,12.7995,594795
10585,2015-04-17,12.6574,12.7616,12.2879,12.3068,736026
10586,2015-04-20,12.3637,12.4868,12.25,12.3921,389068
10587,2015-04-21,12.4584,12.5626,12.411,12.4679,424542
10588,2015-04-22,12.4679,12.4679,12.1837,12.2974,452510
10589,2015-04-23,12.2405,12.61,12.2026,12.4584,402890
10590,2015-04-24,12.4584,12.5058,12.3732,12.4679,368756
10591,2015-04-27,12.4679,12.5721,12.1837,12.2216,529582
10592,2015-04-28,12.2405,12.3732,12.1647,12.3637,572995
10593,2015-04-29,12.3068,12.3637,12.1079,12.1363,421948
10594,2015-04-30,12.2405,13.0174,12.1458,12.6858,2137528
10595,2015-05-01,12.6953,13.0079,12.629,12.8848,922435
10596,2015-05-04,13.169,13.3016,12.9132,13.2732,1219840
10597,2015-05-05,13.2353,13.2921,12.7426,12.8848,1396317
10598,2015-05-06,12.8753,12.9037,12.629,12.7237,1617122
10599,2015-05-07,12.7047,12.9795,12.6384,12.97,914946
10600,2015-05-08,13.0932,13.1406,12.7995,13.0363,848731
10601,2015-05-11,13.0079,13.2969,12.989,13.2448,1002565
10602,2015-05-12,13.169,13.2069,12.9132,13.1406,664099
10603,2015-05-13,13.1974,13.2921,12.9605,13.1121,632174
10604,2015-05-14,13.2069,13.3585,13.1311,13.349,695755
10605,2015-05-15,13.349,13.4437,13.1879,13.2069,554418
10606,2015-05-18,13.169,13.3869,13.169,13.3111,603915
10607,2015-05-19,13.3206,13.4011,13.2827,13.3774,449522
10608,2015-05-20,13.4153,13.51,13.3206,13.5006,417097
10609,2015-05-21,13.4627,13.5764,13.2827,13.4248,408499
10610,2015-05-22,13.3869,13.4532,13.2637,13.3111,347774
